Rank,Player,Team,Position,MIN,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,Research %ROST,Research +/-,Fantasy TOT,Fantasy AVG,Position List,Projected Fantasy Points,VORP,Adjusted VORP,Tier
340,Anthony Black,Orl,"PG, SG",16.8,1.7,3.6,0.7,1.2,0.6,2.0,1.3,0.5,0.3,0.8,4.6,0.8,-0.1,746.0,10.7,"['PG', 'SG']",10.7,-8.400000000000002,-0.676653930909182,1
341,Chris Duarte,Chi,SG,15.0,1.9,4.9,0.7,0.9,0.9,2.1,1.0,0.5,0.2,0.6,5.5,0.1,0.0,741.0,10.9,['SG'],10.799999999999999,-12.700000000000001,-1.1746603190993112,1
342,Garrison Mathews,Atl,"SG, SF",15.8,1.7,3.9,0.7,0.9,1.3,1.5,0.6,0.4,0.1,0.3,5.4,0.1,0.0,732.0,10.2,"['SG', 'SF']",10.100000000000001,-12.100000000000001,-1.0926392556828846,1
343,Jalen Wilson,Bkn,PF,15.5,1.8,4.2,0.9,1.1,0.5,3.1,1.0,0.3,0.1,0.4,5.0,0.2,0.0,722.0,10.6,['PF'],10.600000000000001,-10.299999999999997,-0.9053715406286509,1
344,Kobe Bufkin,Atl,"PG, SG",11.6,2.0,5.4,0.2,0.5,0.5,1.9,1.6,0.4,0.3,0.6,4.8,0.3,0.1,715.0,10.4,"['PG', 'SG']",10.3,-8.8,-0.708875546666762,1
345,P.J. Tucker,LAC,"PF, SF",21.1,1.2,2.8,0.3,0.3,0.6,3.6,0.9,0.6,0.2,0.5,3.3,0.2,0.0,708.0,11.1,"['PF', 'SF']",11.100000000000001,-9.799999999999997,-0.8614214658408523,1
346,Ben Sheppard,Ind,SG,14.3,1.6,4.0,0.5,0.5,0.9,1.6,0.9,0.6,0.0,0.3,4.6,0.2,0.0,706.0,9.9,['SG'],9.9,-13.6,-1.257903963759892,1
347,AJ Griffin,FA,SF,15.1,2.4,5.7,0.4,0.4,1.0,1.6,0.7,0.4,0.1,0.5,6.3,0.1,0.0,,10.5,['SF'],10.399999999999999,-11.800000000000004,-1.065549026203144,1
348,Cam Reddish,LAL,"SF, SG",17.3,1.8,4.5,0.9,1.1,0.7,1.7,0.9,0.8,0.2,0.6,5.2,0.2,0.0,674.0,11.0,"['SF', 'SG']",11.1,-11.100000000000003,-1.002338490750415,1
349,Jalen McDaniels,FA,PF,14.2,1.9,4.7,0.8,1.0,0.4,2.3,1.0,0.5,0.2,0.7,4.9,0.1,-0.1,,9.9,['PF'],9.9,-10.999999999999998,-0.966901645331569,1
350,Jarace Walker,Ind,PF,10.3,1.4,3.3,0.3,0.3,0.6,1.9,1.2,0.5,0.3,0.5,3.6,0.4,-0.1,669.0,10.1,['PF'],10.200000000000001,-10.699999999999998,-0.9405316004588898,1
351,Saben Lee,FA,PG,11.6,1.4,3.6,1.4,1.9,0.2,1.7,2.0,0.6,0.1,0.6,4.4,0.0,0.0,,10.7,['PG'],10.600000000000001,-8.5,-0.6847093348485769,1
352,Rayan Rupert,Por,SG,16.7,1.8,5.1,0.8,1.1,0.8,2.4,1.6,0.3,0.1,0.8,5.3,0.0,0.0,652.0,10.0,['SG'],9.900000000000002,-13.599999999999998,-1.257903963759892,1
354,Alex Len,Sac,C,10.7,1.3,2.4,0.6,1.0,0.0,3.0,1.0,0.2,0.6,0.7,3.4,0.1,0.0,648.0,10.1,['C'],10.0,-10.7,-0.8601904487679308,1
355,Garrett Temple,Tor,SG,13.8,1.4,3.7,0.4,0.6,0.7,1.8,1.0,0.6,0.2,0.5,3.9,0.0,0.0,633.0,9.6,['SG'],9.499999999999998,-14.000000000000002,-1.294901139164595,1
356,Jeremiah Robinson-Earl,NO,"PF, C",12.4,1.6,3.6,0.5,0.6,0.5,2.9,0.7,0.4,0.2,0.5,4.2,0.1,0.0,628.0,10.0,"['PF', 'C']",9.9,-10.799999999999999,-0.8682296118405283,1
357,Nick Smith Jr.,Cha,SG,14.2,2.2,5.7,0.3,0.3,1.3,1.4,1.2,0.2,0.1,0.8,6.0,0.1,0.0,622.0,9.3,['SG'],9.4,-14.1,-1.3041504330157705,1
358,Max Christie,LAL,SG,13.8,1.4,3.4,0.5,0.6,0.6,2.1,0.8,0.3,0.2,0.5,4.0,0.3,0.0,589.0,8.7,['SG'],8.6,-14.9,-1.3781447838251761,1
359,Jalen Hood-Schifino,LAL,SG,11.3,2.0,4.7,1.5,2.1,0.5,1.3,0.8,0.3,0.2,0.9,6.0,0.1,0.0,555.0,8.3,['SG'],8.3,-15.2,-1.405892665378703,1
360,Kira Lewis Jr.,FA,PG,11.1,1.7,4.3,0.6,0.7,0.4,1.3,1.4,0.4,0.1,0.7,4.5,0.0,0.0,,8.6,['PG'],8.6,-10.500000000000002,-0.8458174136364774,1
361,Jericho Sims,NY,C,13.7,1.0,1.4,0.3,0.5,0.0,3.7,0.5,0.2,0.5,0.4,2.3,0.3,0.0,627.0,9.5,['C'],9.4,-11.299999999999999,-0.9084254272035157,1
362,Chuma Okeke,FA,PF,12.8,1.3,3.5,0.2,0.3,0.7,2.4,0.7,0.4,0.2,0.4,3.5,0.1,0.0,,8.6,['PF'],8.6,-12.299999999999999,-1.0811718397798455,1
363,Caleb Houstan,Orl,SF,14.2,1.3,3.5,0.3,0.4,1.2,1.5,0.5,0.3,0.1,0.3,4.2,0.0,0.0,541.0,8.0,['SF'],7.9,-14.300000000000002,-1.2913009385343182,1
364,Markelle Fultz,FA,"PG, SG",24.5,4.5,9.2,1.1,1.5,0.3,3.5,4.1,1.2,0.4,1.7,10.5,0.5,-0.2,,25.0,"['PG', 'SG']",24.9,5.799999999999997,0.46721342848491104,4
365,T.J. Warren,FA,SF,15.8,3.0,6.1,0.6,0.8,0.5,2.8,0.9,0.5,0.3,0.5,7.1,0.1,0.0,,14.2,['SF'],14.1,-8.100000000000003,-0.7314361959530056,2
366,DeAndre Jordan,Den,C,12.1,1.8,2.7,0.6,1.3,0.0,4.7,0.7,0.2,0.5,0.8,4.2,0.1,0.0,504.0,11.7,['C'],11.700000000000003,-8.999999999999996,-0.7235246765337733,1
367,James Johnson,Ind,PF,15.1,1.9,4.0,0.4,0.7,0.3,2.7,1.6,0.4,0.5,0.6,4.4,0.1,0.0,494.0,12.4,['PF'],12.500000000000002,-8.399999999999997,-0.7383612564350162,1
369,Andre Jackson Jr.,Mil,"SG, SF",10.1,0.8,1.8,0.1,0.2,0.3,2.0,0.9,0.3,0.1,0.5,2.1,0.1,0.0,440.0,6.6,"['SG', 'SF']",6.5,-15.700000000000003,-1.417722009439776,1
370,Bronny James,LAL,PG,10.1,1.3,3.2,0.6,0.7,0.7,2.3,1.7,0.7,0.3,1.3,3.8,16.1,-1.1,430.0,10.8,['PG'],10.899999999999999,-8.200000000000003,-0.6605431230303921,1
371,Olivier-Maxence Prosper,Dal,PF,8.4,1.0,2.6,0.7,1.0,0.3,2.0,0.6,0.2,0.1,0.2,3.0,0.1,0.0,418.0,6.4,['PF'],6.3999999999999995,-14.5,-1.2745521688461594,1
373,Kobe Brown,LAC,PF,8.9,0.9,2.0,0.0,0.0,0.4,1.4,0.6,0.3,0.1,0.2,2.1,0.1,0.0,378.0,5.9,['PF'],6.1,-14.799999999999999,-1.3009222137188385,1
374,Dariq Whitehead,Bkn,SF,12.0,0.5,2.5,0.5,1.0,0.0,2.0,1.5,0.0,0.5,0.0,1.5,0.1,0.0,376.0,6.6,['SF'],6.5,-15.700000000000003,-1.417722009439776,1
375,Colby Jones,Sac,SG,6.9,1.0,2.6,0.2,0.4,0.1,1.5,0.7,0.3,0.2,0.4,2.4,0.1,0.0,370.0,5.9,['SG'],5.799999999999999,-17.700000000000003,-1.6371250116580953,1
376,Jordan Walsh,Bos,SF,9.2,0.7,1.7,0.1,0.2,0.2,2.2,0.6,0.6,0.1,0.3,1.7,0.4,0.0,363.0,7.1,['SF'],7.1000000000000005,-15.100000000000001,-1.363541550480294,1
377,PJ Dozier,Min,PG,10.0,1.1,3.3,0.2,0.3,0.4,1.8,1.0,0.5,0.2,0.5,2.8,0.1,0.0,344.0,7.6,['PG'],7.6,-11.500000000000002,-0.9263714530304277,1
378,Jalen Pickett,Den,"SG, PG",6.1,0.8,1.8,0.1,0.2,0.5,0.7,1.1,0.2,0.0,0.5,2.2,0.1,0.0,313.0,5.0,"['SG', 'PG']",5.1000000000000005,-14.0,-1.1277565515153032,1
379,Julian Phillips,Chi,SF,8.0,0.8,1.9,0.3,0.5,0.3,0.9,0.3,0.2,0.2,0.2,2.2,0.1,0.0,291.0,4.7,['SF'],4.700000000000001,-17.5,-1.5802633863182214,1
380,Emoni Bates,Cle,SF,9.0,1.0,3.3,0.1,0.3,0.7,0.9,0.7,0.1,0.1,0.5,2.8,0.2,0.0,252.0,4.0,['SF'],4.1,-18.1,-1.6344438452777033,1
382,Hunter Tyson,Den,SF,6.2,1.1,2.6,0.0,0.0,0.5,1.2,0.3,0.1,0.0,0.3,2.6,0.1,0.0,249.0,4.3,['SF'],4.3,-17.900000000000002,-1.6163836922912094,1
383,Leonard Miller,Min,SF,3.2,0.6,1.2,0.1,0.1,0.1,1.2,0.5,0.1,0.1,0.1,1.3,0.2,0.0,246.0,4.2,['SF'],4.199999999999999,-18.000000000000004,-1.6254137687844565,1
385,Jalen Slawson,FA,SF,3.1,0.3,0.5,0.0,0.0,0.0,0.6,0.2,0.1,0.1,0.2,0.7,0.0,0.0,,2.1,['SF'],2.2,-20.000000000000004,-1.806015298649396,1
386,Edmond Sumner,Cha,SG,13.9,2.4,5.1,1.8,2.0,0.6,1.5,1.3,0.6,0.2,0.9,7.1,0.0,0.0,529.0,12.6,['SG'],12.7,-10.8,-0.9989237359269733,1
388,Jett Howard,Orl,"SF, SG",3.6,0.6,1.7,0.1,0.2,0.4,0.4,0.3,0.1,0.1,0.2,1.6,0.1,0.0,185.0,2.8,"['SF', 'SG']",2.8000000000000003,-19.400000000000002,-1.7518348396899142,1
389,Maxwell Lewis,LAL,SF,8.3,0.7,1.7,0.1,0.2,0.2,0.3,0.5,0.2,0.1,0.8,1.8,0.1,0.0,165.0,2.6,['SF'],2.5,-19.700000000000003,-1.7789250691696552,1
390,Chris Livingston,Mil,SF,4.3,0.5,1.1,0.2,0.2,0.1,1.0,0.2,0.1,0.0,0.2,1.2,0.1,0.0,161.0,2.6,['SF'],2.5999999999999996,-19.6,-1.769894992676408,1
391,Keyontae Johnson,FA,SF,7.4,0.6,1.8,0.0,0.0,0.1,1.1,0.4,0.1,0.0,0.4,1.2,0.0,0.0,,2.1,['SF'],2.1999999999999997,-20.000000000000004,-1.806015298649396,1
392,Aleksej Pokusevski,FA,"PF, C",17.8,2.5,6.0,0.8,1.2,0.9,4.1,1.7,0.6,0.7,1.1,6.7,0.1,0.0,,16.7,"['PF', 'C']",16.7,-4.0,-0.32156652290389937,2
393,Seth Lundy,Atl,SG,5.8,0.4,1.9,0.3,0.4,0.3,0.8,0.0,0.0,0.0,0.1,1.5,0.0,0.0,92.0,1.4,['SG'],1.2000000000000004,-22.3,-2.0625925288121763,1
394,Jordan Miller,LAC,SF,3.5,0.5,1.1,0.2,0.3,0.1,0.6,0.0,0.0,0.0,0.1,1.4,0.1,0.0,88.0,1.7,['SF'],1.6999999999999997,-20.500000000000004,-1.851165681115631,1
396,Brice Sensabaugh,Utah,SF,18.9,2.8,7.1,1.2,1.3,1.2,3.3,1.8,0.4,0.2,1.5,7.9,0.2,0.0,918.0,13.7,['SF'],13.8,-8.400000000000002,-0.7585264254327464,2
398,Raul Neto,Cle,PG,18.2,2.7,5.7,1.1,1.4,0.5,1.8,2.9,0.7,0.0,1.0,6.9,0.0,0.0,991.0,15.0,['PG'],15.200000000000001,-3.9000000000000004,-0.3141607536364059,2
399,John Wall,Hou,PG,22.1,4.0,9.9,2.3,3.3,1.0,2.7,5.2,0.8,0.4,2.3,11.3,0.2,0.0,615.0,22.8,['PG'],22.7,3.599999999999998,0.2899945418182206,3
400,Tristan Thompson,Cle,"C, PF",12.7,1.8,3.2,0.6,1.4,0.0,4.0,0.9,0.3,0.3,0.7,4.2,0.1,0.0,540.0,10.6,"['C', 'PF']",10.600000000000001,-10.099999999999998,-0.8119554703323457,1
401,Kemba Walker,FA,PG,25.0,3.9,9.8,1.6,1.9,1.9,2.9,3.5,0.7,0.2,1.2,11.4,0.1,0.0,,22.2,['PG'],22.1,3.0,0.24166211818185065,3
402,Justin Holiday,FA,"SG, SF",17.7,2.0,4.8,0.2,0.2,1.3,1.5,1.2,0.6,0.3,0.4,5.4,0.2,0.0,,12.5,"['SG', 'SF']",12.600000000000001,-9.600000000000001,-0.8668873433517101,1
403,James Bouknight,FA,SG,13.2,1.9,5.3,0.7,0.9,0.8,1.9,1.1,0.3,0.1,0.8,5.3,0.0,0.0,,8.5,['SG'],8.5,-15.0,-1.3873940776763518,1
405,Thaddeus Young,FA,PF,14.4,2.1,3.8,0.3,0.6,0.1,3.3,1.6,0.9,0.2,0.7,4.7,0.2,-0.1,,14.4,['PF'],14.400000000000002,-6.4999999999999964,-0.5713509722413814,2
406,Terrence Ross,Phx,SG,22.6,3.4,8.5,1.5,1.8,1.3,2.5,1.8,0.5,0.2,1.1,9.7,0.1,0.0,997.0,15.8,['SG'],15.7,-7.800000000000001,-0.7214449203917029,2
407,Blake Griffin,Bos,PF,16.6,2.2,5.2,0.9,1.3,0.6,4.0,1.8,0.5,0.2,0.6,6.1,0.2,0.0,787.0,14.8,['PF'],14.700000000000001,-6.1999999999999975,-0.5449809273687024,2
408,Reggie Bullock Jr.,FA,"SF, SG",21.2,1.8,4.5,0.2,0.3,1.4,2.8,0.9,0.5,0.2,0.4,5.3,0.1,-0.1,,12.4,"['SF', 'SG']",12.3,-9.900000000000002,-0.8939775728314511,1
409,Terence Davis,Mil,SG,16.3,3.3,7.8,1.0,1.2,1.6,2.8,1.2,0.8,0.3,1.0,9.1,0.0,0.0,625.0,16.9,['SG'],16.9,-6.600000000000001,-0.6104533941775949,2
410,Bismack Biyombo,FA,C,17.1,2.0,3.4,0.6,1.4,0.0,4.8,1.1,0.3,1.1,0.9,4.5,0.1,0.0,,15.2,['C'],15.1,-5.6,-0.4501931320654591,2
411,Facundo Campazzo,Dal,PG,17.9,1.6,4.5,0.9,1.2,0.9,1.8,3.3,1.0,0.3,1.0,5.0,0.0,0.0,859.0,15.9,['PG'],15.899999999999999,-3.200000000000003,-0.25777292606064095,2
415,Evan Fournier,FA,"SG, SF",21.6,3.2,8.4,0.8,1.1,1.7,2.1,1.7,0.9,0.2,0.9,9.0,0.1,0.0,,16.7,"['SG', 'SF']",16.5,-5.700000000000003,-0.5147143601150781,2
417,Will Barton,Tor,SF,29.7,5.0,11.6,1.3,1.6,2.0,4.4,3.6,0.7,0.4,1.6,13.4,0.7,0.3,1789.0,26.3,['SF'],26.300000000000004,4.100000000000001,0.37023313622312626,4
418,Robin Lopez,FA,C,10.5,1.8,3.2,0.5,0.8,0.1,1.9,0.8,0.1,0.3,0.8,4.2,0.1,0.0,,7.8,['C'],7.9,-12.799999999999999,-1.029012873292478,1
419,Khem Birch,SA,C,17.2,1.7,3.5,0.9,1.2,0.0,4.1,1.0,0.5,0.5,0.5,4.3,0.0,0.0,625.0,13.0,['C'],13.0,-7.699999999999999,-0.6190155565900063,1
420,JaMychal Green,GS,PF,15.8,2.4,4.8,1.1,1.3,0.5,4.1,0.9,0.6,0.4,0.9,6.4,0.1,-0.1,960.0,14.8,['PF'],14.799999999999999,-6.1,-0.5361909124111429,2
421,Robert Covington,FA,"PF, SF",19.3,2.1,4.8,0.7,0.9,1.1,3.9,1.1,1.2,0.8,0.7,6.0,0.1,-0.1,,19.0,"['PF', 'SF']",19.0,-1.8999999999999986,-0.16701028419363456,3
422,Doug McDermott,Sac,SF,17.3,2.8,6.2,0.4,0.6,1.7,1.5,1.2,0.2,0.1,0.6,7.7,0.1,0.0,770.0,12.4,['SF'],12.5,-9.700000000000003,-0.8759174198449572,1
423,Jae Crowder,FA,"PF, SF",23.8,2.5,6.0,0.7,0.9,1.3,3.8,1.5,0.9,0.3,0.5,7.1,0.2,-0.1,,17.9,"['PF', 'SF']",17.799999999999997,-3.1000000000000014,-0.2724904636843514,3
424,Victor Oladipo,FA,SG,24.4,4.1,9.4,1.5,2.1,1.7,3.0,3.5,1.0,0.2,2.0,11.4,0.2,-0.1,,22.1,['SG'],22.1,-1.3999999999999986,-0.12949011391645937,3
425,Kendrick Nunn,Wsh,SG,13.8,2.7,6.4,0.5,0.6,1.1,1.6,1.3,0.4,0.1,0.9,7.1,0.0,0.0,648.0,11.6,['SG'],11.5,-12.0,-1.1099152621410813,1
426,Joe Harris,FA,SF,19.9,2.5,5.6,0.2,0.3,1.8,2.2,1.2,0.4,0.2,0.6,7.0,0.0,0.0,,14.0,['SF'],13.900000000000002,-8.3,-0.7494963489394993,2
427,Landry Shamet,FA,SG,18.0,2.7,6.6,0.9,1.1,1.5,1.5,1.5,0.5,0.2,0.7,7.8,0.1,-0.1,,13.8,['SG'],13.8,-9.7,-0.8971815035640407,2
428,Dewayne Dedmon,Phi,C,15.3,2.4,4.3,1.1,1.5,0.3,5.5,0.7,0.3,0.6,1.0,6.2,0.0,0.0,924.0,15.1,['C'],15.100000000000001,-5.599999999999998,-0.45019313206545897,2
429,Juan Toscano-Anderson,FA,SF,13.3,1.4,3.0,0.5,0.8,0.3,2.4,1.6,0.5,0.2,0.8,3.7,0.0,0.0,,10.3,['SF'],10.3,-11.900000000000002,-1.0745791026963907,1
430,Marcus Morris Sr.,FA,PF,22.6,3.5,8.1,1.1,1.3,1.4,3.4,1.3,0.5,0.3,0.8,9.4,0.1,0.0,,17.1,['PF'],17.1,-3.799999999999997,-0.3340205683872691,2
431,Danny Green,Phi,"SF, SG",21.5,2.0,5.1,0.2,0.2,1.6,2.5,1.0,0.9,0.6,0.7,5.8,0.1,0.0,805.0,15.5,"['SF', 'SG']",15.399999999999999,-6.800000000000004,-0.614045201540795,2
432,Bryn Forbes,Min,SG,16.6,2.9,6.9,1.0,1.1,1.6,1.2,1.0,0.3,0.1,0.7,8.4,0.0,0.0,799.0,12.3,['SG'],12.200000000000001,-11.299999999999999,-1.0451702051828515,1
433,Jarrett Culver,FA,SG,9.4,1.4,3.7,0.4,0.9,0.3,1.5,0.9,0.5,0.1,0.6,3.6,0.0,0.0,,7.0,['SG'],7.0,-16.5,-1.526133485443987,1
434,Stanley Johnson,SA,SF,21.8,2.4,5.1,1.1,1.5,0.7,3.2,1.7,0.8,0.3,0.8,6.6,0.0,0.0,701.0,15.9,['SF'],16.0,-6.200000000000003,-0.5598647425813129,2
435,Cory Joseph,Orl,PG,18.1,2.0,4.7,0.8,1.0,0.9,1.7,2.9,0.4,0.2,0.8,5.7,0.0,0.0,602.0,14.0,['PG'],14.0,-5.100000000000001,-0.4108256009091462,2
436,Jordan Goodwin,FA,"PG, SG",18.3,2.5,6.3,0.8,1.1,0.7,4.0,2.7,0.9,0.4,1.0,6.5,0.1,0.0,,18.2,"['PG', 'SG']",18.2,-0.9000000000000021,-0.07249863545455537,3
437,Isaiah Roby,NY,PF,19.2,3.3,6.5,1.5,2.3,0.9,4.4,1.5,0.7,0.6,0.9,8.9,0.1,0.0,873.0,19.8,['PF'],19.9,-1.0,-0.08790014957559719,3
438,Moses Brown,FA,C,8.7,1.6,2.8,0.7,1.7,0.0,3.8,0.2,0.2,0.4,0.5,3.9,0.0,0.0,,9.0,['C'],8.9,-11.799999999999999,-0.948621242566503,1
439,Damian Jones,FA,C,10.6,1.6,2.5,0.7,0.9,0.1,2.6,0.5,0.2,0.5,0.5,4.0,0.0,0.0,,9.9,['C'],10.0,-10.7,-0.8601904487679308,1
440,Nerlens Noel,FA,C,20.8,1.2,2.4,0.8,1.1,0.0,5.2,0.9,1.2,1.1,0.8,3.2,0.0,0.0,,17.7,['C'],17.5,-3.1999999999999993,-0.2572532183231194,2
442,Nassir Little,FA,SF,15.0,2.0,4.4,0.6,0.8,0.8,2.5,0.7,0.3,0.4,0.5,5.3,0.1,0.0,,11.2,['SF'],11.2,-11.000000000000004,-0.993308414257168,1
443,Darius Bazley,FA,PF,19.9,2.7,6.3,1.2,2.0,0.7,4.5,1.1,0.6,0.9,0.9,7.5,0.0,0.0,,17.6,['PF'],17.4,-3.5,-0.3076505235145902,2
444,Furkan Korkmaz,FA,SG,12.0,1.5,3.6,0.7,0.9,0.6,1.4,1.0,0.4,0.1,0.5,4.2,0.0,0.0,,8.3,['SG'],8.4,-15.1,-1.3966433715275273,1
445,Juancho Hernangomez,Tor,PF,11.9,1.1,2.7,0.5,0.8,0.6,2.6,0.5,0.4,0.2,0.4,3.3,0.0,0.0,328.0,8.2,['PF'],8.3,-12.599999999999998,-1.1075418846525245,1
446,Willy Hernangomez,NO,C,16.3,3.3,6.3,2.2,2.8,0.1,6.5,1.2,0.4,0.4,1.0,8.8,0.0,0.0,878.0,18.7,['C'],18.7,-2.0,-0.16078326145194968,3
447,Serge Ibaka,Ind,C,16.0,2.7,5.3,0.6,0.8,0.7,4.5,0.9,0.2,0.6,0.8,6.5,0.1,0.0,684.0,14.9,['C'],15.0,-5.699999999999999,-0.4582322951380566,2
448,Davis Bertans,FA,PF,14.0,1.9,4.8,0.5,0.6,1.5,1.5,0.7,0.4,0.2,0.3,5.9,0.1,-0.1,,11.0,['PF'],11.0,-9.899999999999999,-0.8702114807984122,1
449,Frank Kaminsky,FA,C,13.4,2.4,4.6,1.1,1.3,0.4,3.0,1.2,0.5,0.4,0.4,6.4,0.0,0.0,,15.3,['C'],15.0,-5.699999999999999,-0.4582322951380566,2
450,Justise Winslow,Tor,SF,17.8,2.4,5.7,0.8,1.3,0.3,4.4,2.0,0.8,0.5,1.1,6.0,0.0,0.0,702.0,16.3,['SF'],16.3,-5.900000000000002,-0.532774513101572,2
451,Talen Horton-Tucker,Chi,"SG, SF",20.8,3.7,9.2,1.8,2.3,1.0,2.8,3.5,0.8,0.4,1.5,10.3,0.4,-0.1,1183.0,20.8,"['SG', 'SF']",20.6,-1.6000000000000014,-0.14448122389195178,3
452,Patrick Beverley,FA,PG,22.8,2.3,5.5,1.0,1.3,1.0,3.5,3.1,0.8,0.5,0.9,6.6,0.4,-0.1,,19.4,['PG'],19.5,0.3999999999999986,0.03222161575757997,3
453,Ish Smith,FA,PG,15.0,1.7,4.1,0.1,0.2,0.2,1.7,3.2,0.4,0.2,1.1,3.7,0.0,0.0,,11.3,['PG'],11.4,-7.700000000000001,-0.6202661033334168,1
454,JaVale McGee,FA,C,9.6,2.2,3.6,0.8,1.2,0.0,3.6,0.4,0.2,0.6,0.9,5.2,0.1,0.0,,11.4,['C'],11.4,-9.299999999999999,-0.747642165751566,1
455,Justin Jackson,FA,SF,4.6,0.3,1.2,0.1,0.1,0.2,0.7,0.4,0.2,0.2,0.1,0.9,0.0,0.0,,3.5,['SF'],3.4,-18.800000000000004,-1.6976543807304325,1
456,George Hill,Ind,PG,22.3,2.1,4.8,1.1,1.2,0.8,2.7,2.3,0.7,0.1,0.8,6.0,0.0,0.0,770.0,14.8,['PG'],15.0,-4.100000000000001,-0.33027156151519604,2
457,Hamidou Diallo,FA,SG,19.4,4.1,7.7,1.5,2.5,0.2,4.0,1.1,1.1,0.3,1.2,10.0,0.1,0.0,,19.2,['SG'],19.1,-4.399999999999999,-0.4069689294517297,3
458,Dennis Smith Jr.,FA,PG,20.8,2.8,6.6,1.0,1.4,0.5,2.9,4.0,1.3,0.3,1.3,7.1,0.1,0.0,,20.9,['PG'],20.9,1.7999999999999972,0.14499727090911016,3
459,Cedi Osman,FA,SF,19.0,2.9,6.3,0.8,1.1,1.4,2.4,1.7,0.5,0.1,0.7,8.0,0.1,0.0,,15.3,['SF'],15.4,-6.8000000000000025,-0.6140452015407948,2
460,Sasha Vezenkov,FA,PF,12.2,2.0,4.6,0.3,0.4,1.1,2.3,0.5,0.5,0.2,0.3,5.5,0.0,0.0,,11.4,['PF'],11.4,-9.499999999999998,-0.8350514209681732,1
461,Anthony Lamb,GS,SF,19.3,2.4,5.1,0.8,1.0,1.2,3.5,1.6,0.5,0.3,0.9,6.8,0.0,0.0,187.0,15.6,['SF'],15.599999999999998,-6.600000000000005,-0.595985048554301,2
462,R.J. Hampton,FA,PG,18.1,2.4,5.8,1.2,1.7,0.9,2.3,1.6,0.6,0.2,1.1,6.8,0.0,0.0,,12.7,['PG'],12.700000000000001,-6.4,-0.5155458521212815,1
463,Austin Rivers,Min,SG,21.7,2.1,5.0,0.5,0.7,1.1,1.7,1.4,0.7,0.1,0.7,5.8,0.1,0.0,784.0,12.3,['SG'],12.2,-11.3,-1.0451702051828518,1
464,Chimezie Metu,FA,"PF, C",15.3,2.4,4.7,1.0,1.2,0.5,3.8,0.8,0.7,0.3,0.8,6.3,0.0,0.0,,14.5,"['PF', 'C']",14.499999999999996,-6.200000000000003,-0.49842811050104424,2
465,Killian Hayes,FA,PG,26.0,3.3,8.4,1.0,1.3,0.8,2.9,5.3,1.1,0.4,1.7,8.3,0.4,-0.2,,23.0,['PG'],23.1,4.0,0.3222161575758009,3
466,Danuel House Jr.,FA,"SF, SG",15.1,1.6,3.5,0.9,1.2,0.6,1.8,0.8,0.4,0.2,0.6,4.7,0.0,0.0,,9.3,"['SF', 'SG']",9.3,-12.900000000000002,-1.1648798676288605,1
467,Omer Yurtseven,FA,C,11.6,2.1,3.9,0.5,0.7,0.1,4.4,0.6,0.2,0.4,0.7,4.8,0.0,0.0,,11.5,['C'],11.600000000000001,-9.099999999999998,-0.731563839606371,1
468,Amari Bailey,Bkn,SG,6.3,0.8,2.4,0.6,0.7,0.1,0.9,0.7,0.3,0.0,0.4,2.3,0.0,0.0,42.0,4.2,['SG'],4.2,-19.3,-1.785113713276906,1
470,Sidy Cissoko,SA,SG,11.7,1.3,2.8,1.0,1.3,0.1,1.8,0.8,0.6,0.3,0.3,3.8,0.0,0.0,118.0,9.8,['SG'],9.8,-13.7,-1.2671532576110678,1
471,Joshua Primo,FA,SG,19.1,2.0,5.3,0.9,1.2,0.8,2.2,1.7,0.4,0.5,1.2,5.6,0.1,0.0,,11.5,['SG'],11.6,-11.9,-1.1006659682899058,1
472,Sterling Brown,LAL,SG,12.9,1.2,3.2,0.3,0.3,0.6,3.1,0.7,0.3,0.1,0.5,3.3,0.0,0.0,402.0,8.2,['SG'],8.2,-15.3,-1.4151419592298788,1
474,Montrezl Harrell,Phi,C,21.2,4.5,7.1,2.7,3.8,0.0,5.5,1.8,0.4,0.6,0.9,11.8,0.3,0.1,1637.0,24.1,['C'],23.9,3.1999999999999993,0.2572532183231194,4
